FullName;Age;PhotoUrl;Nationality;BestPosition;Club
Unai Simón Mendibil;24;https://cdn.sofifa.com/players/230/869/22_60.png;Spain;GK;Athletic Club de Bilbao
Richarlison de Andrade;24;https://cdn.sofifa.com/players/231/943/22_60.png;Brazil;ST;Everton
Cristian Romero;23;https://cdn.sofifa.com/players/232/488/22_60.png;Argentina;CB;Tottenham Hotspur
Denzel Dumfries;25;https://cdn.sofifa.com/players/233/096/22_60.png;Netherlands;RB;Inter
Raphael Dias Belloli;24;https://cdn.sofifa.com/players/233/419/22_60.png;Brazil;LM;Leeds United
Alexander Isak;21;https://cdn.sofifa.com/players/233/731/22_60.png;Sweden;ST;Real Sociedad
Ferran Torres García;21;https://cdn.sofifa.com/players/241/461/22_60.png;Spain;CAM;Manchester City
Florian Neuhaus;24;https://cdn.sofifa.com/players/234/943/22_60.png;Germany;CM;Borussia Mönchengladbach
Youssef En-Nesyri;24;https://cdn.sofifa.com/players/235/410/22_60.png;Morocco;ST;Sevilla FC
Tanguy Ndombele;24;https://cdn.sofifa.com/players/235/569/22_60.png;France;CAM;Tottenham Hotspur
Tomáš Souček;26;https://cdn.sofifa.com/players/236/792/22_60.png;Czech Republic;CDM;West Ham United
Éder Gabriel Militão;23;https://cdn.sofifa.com/players/240/130/22_60.png;Brazil;CB;Real Madrid CF
Raphael William Anjos Rochedo;33;https://cdn.sofifa.com/players/230/168/22_60.png;Brazil;GK;RB Bragantino
Pau Francisco Torres;24;https://cdn.sofifa.com/players/241/464/22_60.png;Spain;CB;Villarreal CF
Dominik Livaković;26;https://cdn.sofifa.com/players/241/671/22_60.png;Croatia;GK;Dinamo Zagreb
Daniel Olmo Carvajal;23;https://cdn.sofifa.com/players/244/260/22_60.png;Spain;CAM;RB Leipzig
Josué Durval Chiamulera Vaz;29;https://cdn.sofifa.com/players/230/375/22_60.png;Brazil;CB;Grêmio
Christian Pulisic;22;https://cdn.sofifa.com/players/227/796/22_60.png;United States;RM;Chelsea
Ben Chilwell;24;https://cdn.sofifa.com/players/229/984/22_60.png;England;LWB;Chelsea
James Maddison;24;https://cdn.sofifa.com/players/220/697/22_60.png;England;CAM;Leicester City
Niklas Süle;25;https://cdn.sofifa.com/players/212/190/22_60.png;Germany;CB;FC Bayern München
Alex Nicolao Telles;28;https://cdn.sofifa.com/players/212/462/22_60.png;Brazil;LB;Manchester United
Anderson Souza Conceição;27;https://cdn.sofifa.com/players/212/523/22_60.png;Brazil;CAM;Al Nassr
Rodrigo Javier De Paul;27;https://cdn.sofifa.com/players/212/616/22_60.png;Argentina;CM;Atlético de Madrid
Rafael A. Ferreira Silva;28;https://cdn.sofifa.com/players/216/547/22_60.png;Portugal;RM;SL Benfica
Diego Carlos Santos Silva;28;https://cdn.sofifa.com/players/219/693/22_60.png;Brazil;CB;Sevilla FC
Ante Rebić;27;https://cdn.sofifa.com/players/220/018/22_60.png;Croatia;LM;AC Milan
Képler Laveran Lima Ferreira;38;https://cdn.sofifa.com/players/120/533/22_60.png;Portugal;CB;FC Porto
Manuel Locatelli;23;https://cdn.sofifa.com/players/222/077/22_60.png;Italy;CM;Juventus
Leon Bailey;23;https://cdn.sofifa.com/players/229/906/22_60.png;Jamaica;LM;Aston Villa
Martin Ødegaard;22;https://cdn.sofifa.com/players/222/665/22_60.png;Norway;CAM;Arsenal
Rúben Diogo da Silva Neves;24;https://cdn.sofifa.com/players/224/293/22_60.png;Portugal;CM;Wolverhampton Wanderers
Diogo José Teixeira da Silva;24;https://cdn.sofifa.com/players/224/458/22_60.png;Portugal;ST;Liverpool
Joe Gomez;24;https://cdn.sofifa.com/players/225/100/22_60.png;England;CB;Liverpool
Fabián Ruiz Peña;25;https://cdn.sofifa.com/players/226/271/22_60.png;Spain;CM;Napoli
João Maria Palhinha Gonçalves;25;https://cdn.sofifa.com/players/229/391/22_60.png;Portugal;CB;Sporting CP
Dayot Upamecano;22;https://cdn.sofifa.com/players/229/558/22_60.png;France;CB;FC Bayern München
Mario Hermoso Canseco;26;https://cdn.sofifa.com/players/229/668/22_60.png;Spain;CB;Atlético de Madrid
Clément Lenglet;26;https://cdn.sofifa.com/players/220/440/22_60.png;France;CB;FC Barcelona
Christian Eriksen;29;https://cdn.sofifa.com/players/190/460/22_60.png;Denmark;CM;Inter
Raúl Albiol Tortajada;35;https://cdn.sofifa.com/players/157/481/22_60.png;Spain;CB;Villarreal CF
Cristian Portugues Manzanera;29;https://cdn.sofifa.com/players/205/070/22_60.png;Spain;RW;Real Sociedad
Luis Muriel;30;https://cdn.sofifa.com/players/199/110/22_60.png;Colombia;ST;Atalanta
Anthony Lopes;30;https://cdn.sofifa.com/players/199/482/22_60.png;Portugal;GK;Olympique Lyonnais
José Gómez Campaña;28;https://cdn.sofifa.com/players/199/823/22_60.png;Spain;CM;Levante Unión Deportiva
Gabriel Armando de Abreu;30;https://cdn.sofifa.com/players/201/305/22_60.png;Brazil;CB;Valencia CF
Jordan Veretout;28;https://cdn.sofifa.com/players/201/519/22_60.png;France;CDM;Roma
Jesús Joaquín Fernández Sáez;27;https://cdn.sofifa.com/players/202/651/22_60.png;Spain;RW;Sevilla FC
Thorgan Hazard;28;https://cdn.sofifa.com/players/203/486/22_60.png;Belgium;LM;Borussia Dortmund
Juan Bernat Velasco;28;https://cdn.sofifa.com/players/205/069/22_60.png;Spain;LB;Paris Saint-Germain
Hakan Çalhanoğlu;27;https://cdn.sofifa.com/players/208/128/22_60.png;Turkey;CAM;Inter
Francisco Román Alarcón Suárez;29;https://cdn.sofifa.com/players/197/781/22_60.png;Spain;CAM;Real Madrid CF
Emre Can;27;https://cdn.sofifa.com/players/208/333/22_60.png;Germany;CDM;Borussia Dortmund
Saúl Ñíguez Esclápez;26;https://cdn.sofifa.com/players/208/421/22_60.png;Spain;CM;Chelsea
Marten de Roon;30;https://cdn.sofifa.com/players/208/461/22_60.png;Netherlands;CDM;Atalanta
Yassine Bounou;30;https://cdn.sofifa.com/players/209/981/22_60.png;Morocco;GK;Sevilla FC
Alejandro Grimaldo García;25;https://cdn.sofifa.com/players/210/035/22_60.png;Spain;CM;SL Benfica
Alessio Romagnoli;26;https://cdn.sofifa.com/players/210/413/22_60.png;Italy;CB;AC Milan
Domenico Berardi;26;https://cdn.sofifa.com/players/210/935/22_60.png;Italy;RW;U.S. Sassuolo Calcio
Nicolás Tagliafico;28;https://cdn.sofifa.com/players/211/256/22_60.png;Argentina;LB;Ajax
Wilfried Zaha;28;https://cdn.sofifa.com/players/198/717/22_60.png;Côte d'Ivoire;CF;Crystal Palace
Norberto Murara Neto;31;https://cdn.sofifa.com/players/194/404/22_60.png;Brazil;GK;FC Barcelona
